ticker,company_name,industry,market_cap,esg_score,volatility,leverage,profit_margin,roe,current_ratio,asset_turnover,rd_expense_pct,debt_ratio,num_employees,annual_return
GOOGL,Alphabet Inc,Web Search Portals and All Other Information Services,13468.11056,73.86246439,0.5614765688,1.175998816,14.0749652,20.01730464,1.729888079,1.406832016,0.5746318179,0.6792393599,31501,158646.117
CLMT,Calumet Inc,Petroleum Refineries,6286.161091,1.776647203,0.5677700574,0.9095382458,7.70546402,12.56670881,1.66848272,1.027581011,6.513278684,0.4017784985,19942,121587.775
RGLD,Royal Gold Inc,Gold Ore and Silver Ore Mining,16143.12031,54.38382221,0.4206126584,1.283182535,14.45894255,13.46819563,2.000101326,1.353833214,1.001395652,0.7469429133,34050,130499.0436
KAVL,Kaival Brands Innovations Group Inc,Tobacco Product and Electronic Cigarette Merchant Wholesalers,46150.30428,79.5829139,0.7774358942,1.621697159,19.0826962,25.01545127,1.19154852,1.558038505,4.432656946,0.8434344619,41727,199573.6501
DOMH,Dominari Holdings Inc,Investment Banking and Securities Intermediation,5602.896391,27.35660035,0.4536027968,0.9930735032,9.69168224,14.87464339,2.162873812,1.566686696,6.050957827,0.4921237678,18203,116050.8408
SKWD,Skyward Specialty Insurance Group Inc,Insurance Agencies and Brokerages,5603.006777,60.72585955,0.4402345297,0.7345976819,10.96833276,14.91086974,2.446407327,1.215198836,2.315082416,0.3826711532,18166,188922.9849
NMRK,Newmark Group Inc,Offices of Real Estate Agents and Brokers,49369.02015,67.22111046,0.7536472791,1.474171044,17.38616714,23.93754709,1.587913705,2.269292933,1.276551214,0.7721108007,42483,165727.2882
ACOG,Alpha Cognition Inc,Pharmaceutical Preparation Manufacturing,18637.75573,65.84744494,0.6086134123,1.302151534,13.5817642,14.27295031,1.944193925,1.07502443,1.817170748,0.705074571,35510,159457.1716
WBUY,Webuy Global Ltd,All Other General Merchandise Retailers,4224.489661,45.13911379,0.4380994265,0.7009318537,10.59758695,12.38951143,2.578941678,1.169513355,6.91012679,0.396125195,14722,157840.7266
MSGM,Motorsport Games Inc,Software Publishers,14229.82023,35.3112208,0.5872320334,1.474889008,10.53117084,17.74221949,1.709183644,1.316741121,5.793352187,0.7260058297,32185,134940.8232
TWNP,Twin Hospitality Group Inc,Full-Service Restaurants,4255.305235,83.75648323,0.3548620796,0.8355775616,19.63081725,25.5586957,1.959705712,1.619317967,1.985735369,0.4064197862,14821,202238.5896
ARAY,Accuray Inc,Electromedical and Electrotherapeutic Apparatus Manufacturing,4243.515369,76.08614974,0.3809532145,0.753286,17.99285316,24.61106074,2.038819038,1.943313107,5.870905978,0.3676042539,14540,175664.9672
TBRG,TruBridge Inc,Software Publishers,9920.689772,32.80426217,0.3932547727,0.9088648809,11.28006101,13.89650972,1.641569111,0.9737146473,5.814636277,0.5296120986,26883,131070.2874
VSME,VS Media Holdings Ltd,Motion Picture and Video Production,747.0160806,11.19890025,0.3036864275,0.6423831792,6.212094458,9.51299542,2.01078138,0.8404348696,7.982938236,0.216286235,1598,117528.2228
CCHH,CCH Holdings Ltd,Full-Service Restaurants,936.4738575,8.108946999,0.15,0.4767275427,5.724930761,1.963880372,2.452722029,0.7154579604,3.436670176,0.15,2423,103923.8927
